Kuukausi,Erlang,Haskell,OCaml,Elixir,Scala
2004-01,12,23,20,11,79
2004-02,14,25,20,12,82
2004-03,13,27,22,10,71
2004-04,13,21,20,12,66
2004-05,16,21,20,13,66
2004-06,15,19,18,9,64
2004-07,14,15,17,11,62
2004-08,14,19,17,12,63
2004-09,15,20,18,11,71
2004-10,15,27,21,13,81
2004-11,14,29,16,12,87
2004-12,12,23,17,11,90
2005-01,11,19,14,13,82
2005-02,13,21,17,13,89
2005-03,12,20,16,12,70
2005-04,13,22,15,14,71
2005-05,13,24,18,12,64
2005-06,12,19,14,10,61
2005-07,12,18,14,12,66
2005-08,11,17,13,11,59
2005-09,10,21,15,11,64
2005-10,12,26,16,11,74
2005-11,12,25,17,11,74
2005-12,10,19,15,12,70
2006-01,13,19,13,11,66
2006-02,13,21,14,10,72
2006-03,12,21,13,12,71
2006-04,12,21,11,10,64
2006-05,12,22,11,10,58
2006-06,12,20,12,8,56
2006-07,10,17,12,9,56
2006-08,14,19,11,9,55
2006-09,15,21,12,10,68
2006-10,13,25,16,11,64
2006-11,11,25,14,11,61
2006-12,12,22,12,11,68
2007-01,12,20,11,11,66
2007-02,12,20,12,10,64
2007-03,16,21,11,11,62
2007-04,17,22,10,10,58
2007-05,19,20,11,10,63
2007-06,16,18,10,9,59
2007-07,16,17,11,9,59
2007-08,20,19,9,10,57
2007-09,19,20,9,10,62
2007-10,17,23,12,10,63
2007-11,16,23,12,9,59
2007-12,18,21,10,9,64
2008-01,16,17,9,9,74
2008-02,17,20,9,10,72
2008-03,18,19,9,9,68
2008-04,16,18,8,10,71
2008-05,16,17,7,8,78
2008-06,20,17,7,8,68
2008-07,21,15,6,8,60
2008-08,16,16,6,8,57
2008-09,16,18,8,8,68
2008-10,15,20,10,10,70
2008-11,17,20,8,9,66
2008-12,18,21,7,9,64
2009-01,15,19,7,9,65
2009-02,16,19,7,9,70
2009-03,17,18,7,9,68
2009-04,16,18,7,9,81
2009-05,16,18,6,8,73
2009-06,17,15,6,8,70
2009-07,17,15,5,8,73
2009-08,15,16,5,8,67
2009-09,15,17,6,7,76
2009-10,17,21,8,7,73
2009-11,17,22,7,7,74
2009-12,15,19,6,8,72
2010-01,13,17,6,8,69
2010-02,13,17,6,7,75
2010-03,14,18,7,8,70
2010-04,15,19,6,7,71
2010-05,13,17,5,7,73
2010-06,14,15,5,7,71
2010-07,14,14,4,7,65
2010-08,13,14,4,7,67
2010-09,13,15,5,8,76
2010-10,14,16,7,9,73
2010-11,13,17,6,9,76
